Order Date,Ship Mode,Number of Records,Days to Ship Actual,Days to Ship Scheduled
2/3/2011,Standard Class,1,4,6
2/3/2011,Standard Class,1,4,6
2/3/2011,Standard Class,1,6,6
2/3/2011,Standard Class,1,6,6
3/3/2011,Standard Class,1,4,6
3/3/2011,Standard Class,1,4,6
3/3/2011,Second Class,1,4,3
3/3/2011,Standard Class,1,5,6
3/3/2011,Standard Class,1,5,6
3/3/2011,Standard Class,1,5,6
3/3/2011,Standard Class,1,5,6
3/3/2011,Standard Class,1,5,6
3/3/2011,Standard Class,1,5,6
4/3/2011,Same Day,1,0,0
4/3/2011,Standard Class,1,5,6
5/3/2011,Second Class,1,3,3
5/3/2011,Second Class,1,3,3
5/3/2011,Second Class,1,3,3
5/3/2011,Second Class,1,3,3
5/3/2011,Second Class,1,3,3
7/3/2011,First Class,1,1,1
7/3/2011,First Class,1,1,1
7/3/2011,First Class,1,1,1
7/3/2011,Second Class,1,4,3
7/3/2011,Standard Class,1,5,6
7/3/2011,Standard Class,1,5,6
7/3/2011,Standard Class,1,5,6
7/3/2011,Standard Class,1,5,6
10/3/2011,Standard Class,1,4,6
10/3/2011,Standard Class,1,7,6
10/3/2011,Standard Class,1,7,6
11/3/2011,Second Class,1,2,3
11/3/2011,Second Class,1,2,3
11/3/2011,Second Class,1,2,3
11/3/2011,Second Class,1,2,3
11/3/2011,Second Class,1,3,3
11/3/2011,Standard Class,1,4,6
11/3/2011,Second Class,1,5,3
11/3/2011,Second Class,1,5,3
14/3/2011,First Class,1,3,1
14/3/2011,First Class,1,3,1
14/3/2011,Standard Class,1,4,6
14/3/2011,Standard Class,1,4,6
14/3/2011,Standard Class,1,4,6
14/3/2011,Standard Class,1,5,6
14/3/2011,Standard Class,1,5,6
14/3/2011,Standard Class,1,5,6
14/3/2011,Standard Class,1,5,6
14/3/2011,Standard Class,1,5,6
14/3/2011,Standard Class,1,5,6
15/3/2011,Standard Class,1,4,6
15/3/2011,Standard Class,1,4,6
15/3/2011,Standard Class,1,4,6
15/3/2011,Standard Class,1,4,6
15/3/2011,Standard Class,1,4,6
16/3/2011,Second Class,1,5,3
17/3/2011,Same Day,1,0,0
17/3/2011,Same Day,1,0,0
17/3/2011,Same Day,1,0,0
17/3/2011,Second Class,1,3,3
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,4,6
17/3/2011,Standard Class,1,7,6
17/3/2011,Standard Class,1,7,6
17/3/2011,Standard Class,1,7,6
17/3/2011,Standard Class,1,7,6
17/3/2011,Standard Class,1,7,6
18/3/2011,Second Class,1,3,3
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,5,6
18/3/2011,Standard Class,1,6,6
18/3/2011,Standard Class,1,6,6
18/3/2011,Standard Class,1,6,6
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
19/3/2011,First Class,1,2,1
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
21/3/2011,Standard Class,1,4,6
22/3/2011,Same Day,1,0,0
22/3/2011,Standard Class,1,4,6
22/3/2011,Standard Class,1,4,6
22/3/2011,Standard Class,1,4,6
22/3/2011,Standard Class,1,4,6
23/3/2011,First Class,1,3,1
23/3/2011,Second Class,1,3,3
23/3/2011,Second Class,1,3,3
24/3/2011,Standard Class,1,4,6
24/3/2011,Second Class,1,5,3
25/3/2011,Standard Class,1,5,6
25/3/2011,Standard Class,1,5,6
25/3/2011,Standard Class,1,5,6
25/3/2011,Standard Class,1,5,6
25/3/2011,Standard Class,1,7,6
26/3/2011,Second Class,1,4,3
26/3/2011,Standard Class,1,4,6
26/3/2011,Second Class,1,5,3
26/3/2011,Second Class,1,5,3
26/3/2011,Second Class,1,5,3
28/3/2011,Standard Class,1,4,6
28/3/2011,Standard Class,1,5,6
28/3/2011,Standard Class,1,5,6
28/3/2011,Standard Class,1,6,6
29/3/2011,Standard Class,1,4,6
30/3/2011,First Class,1,1,1
30/3/2011,First Class,1,2,1
30/3/2011,First Class,1,2,1
30/3/2011,First Class,1,2,1
30/3/2011,Standard Class,1,4,6
30/3/2011,Standard Class,1,5,6
30/3/2011,Standard Class,1,5,6
30/3/2011,Standard Class,1,5,6
30/3/2011,Standard Class,1,6,6
31/3/2011,Same Day,1,0,0
31/3/2011,Same Day,1,0,0
31/3/2011,Same Day,1,0,0
31/3/2011,Same Day,1,0,0
31/3/2011,Standard Class,1,4,6
31/3/2011,Standard Class,1,4,6
31/3/2011,Standard Class,1,4,6
31/3/2011,Standard Class,1,5,6
31/3/2011,Standard Class,1,5,6
1/4/2011,Second Class,1,5,3
1/4/2011,Second Class,1,5,3
1/4/2011,Standard Class,1,5,6
1/4/2011,Standard Class,1,5,6
2/4/2011,Second Class,1,4,3
2/4/2011,Second Class,1,4,3
2/4/2011,Standard Class,1,6,6
2/4/2011,Standard Class,1,6,6
2/4/2011,Standard Class,1,6,6
2/4/2011,Standard Class,1,6,6
3/4/2011,Standard Class,1,5,6
3/4/2011,Standard Class,1,5,6
3/4/2011,Standard Class,1,5,6
4/4/2011,First Class,1,1,1
4/4/2011,Standard Class,1,4,6
4/4/2011,Standard Class,1,4,6
4/4/2011,Standard Class,1,4,6
4/4/2011,Standard Class,1,4,6
4/4/2011,Standard Class,1,5,6
4/4/2011,Standard Class,1,5,6
4/4/2011,Standard Class,1,5,6
5/4/2011,Second Class,1,2,3
5/4/2011,Second Class,1,2,3
5/4/2011,Second Class,1,2,3
5/4/2011,Second Class,1,2,3
5/4/2011,First Class,1,2,1
5/4/2011,First Class,1,2,1
5/4/2011,First Class,1,2,1
5/4/2011,Second Class,1,4,3
5/4/2011,Second Class,1,4,3
5/4/2011,Second Class,1,4,3
5/4/2011,Second Class,1,4,3
5/4/2011,Standard Class,1,4,6
5/4/2011,Second Class,1,4,3
6/4/2011,First Class,1,2,1
6/4/2011,First Class,1,2,1
6/4/2011,First Class,1,2,1
6/4/2011,Standard Class,1,4,6
6/4/2011,Second Class,1,4,3
6/4/2011,Second Class,1,4,3
6/4/2011,Second Class,1,4,3
6/4/2011,Standard Class,1,6,6
6/4/2011,Standard Class,1,6,6
6/4/2011,Standard Class,1,6,6
6/4/2011,Standard Class,1,6,6
6/4/2011,Standard Class,1,6,6
6/4/2011,Standard Class,1,6,6
7/4/2011,Same Day,1,0,0
7/4/2011,Same Day,1,0,0
7/4/2011,First Class,1,3,1
7/4/2011,Standard Class,1,5,6
7/4/2011,Standard Class,1,5,6
8/4/2011,Standard Class,1,4,6
8/4/2011,Standard Class,1,4,6
8/4/2011,Standard Class,1,4,6
8/4/2011,Standard Class,1,4,6
8/4/2011,Standard Class,1,5,6
8/4/2011,Standard Class,1,7,6
8/4/2011,Standard Class,1,7,6
11/4/2011,Second Class,1,2,3
11/4/2011,Second Class,1,2,3
11/4/2011,Second Class,1,2,3
11/4/2011,Second Class,1,2,3
11/4/2011,Standard Class,1,5,6
11/4/2011,Second Class,1,5,3
11/4/2011,Standard Class,1,7,6
11/4/2011,Standard Class,1,7,6
11/4/2011,Standard Class,1,7,6
12/4/2011,Standard Class,1,5,6
12/4/2011,Standard Class,1,5,6
12/4/2011,Standard Class,1,5,6
12/4/2011,Standard Class,1,5,6
12/4/2011,Standard Class,1,5,6
12/4/2011,Standard Class,1,6,6
13/4/2011,Second Class,1,4,3
13/4/2011,Second Class,1,4,3
13/4/2011,Second Class,1,4,3
13/4/2011,Second Class,1,4,3
13/4/2011,Standard Class,1,5,6
15/4/2011,Same Day,1,0,0
15/4/2011,Same Day,1,0,0
16/4/2011,Standard Class,1,4,6
18/4/2011,Standard Class,1,4,6
18/4/2011,Standard Class,1,4,6
18/4/2011,Standard Class,1,4,6
18/4/2011,Standard Class,1,4,6
18/4/2011,Standard Class,1,5,6
18/4/2011,Standard Class,1,5,6
18/4/2011,Standard Class,1,5,6
18/4/2011,Standard Class,1,5,6
19/4/2011,Second Class,1,2,3
19/4/2011,Second Class,1,4,3
19/4/2011,Second Class,1,4,3
20/4/2011,Second Class,1,2,3
20/4/2011,Second Class,1,2,3
20/4/2011,Second Class,1,2,3
20/4/2011,Standard Class,1,5,6
21/4/2011,Standard Class,1,4,6
21/4/2011,Standard Class,1,5,6
22/4/2011,Second Class,1,2,3
22/4/2011,Second Class,1,2,3
23/4/2011,First Class,1,1,1
23/4/2011,Second Class,1,3,3
23/4/2011,Standard Class,1,4,6
23/4/2011,Standard Class,1,4,6
23/4/2011,Standard Class,1,4,6
23/4/2011,Standard Class,1,4,6
25/4/2011,Standard Class,1,4,6
25/4/2011,Standard Class,1,4,6
25/4/2011,Standard Class,1,4,6
25/4/2011,Standard Class,1,5,6
25/4/2011,Standard Class,1,5,6
25/4/2011,Standard Class,1,5,6
26/4/2011,Standard Class,1,4,6
26/4/2011,Standard Class,1,4,6
26/4/2011,Standard Class,1,7,6
26/4/2011,Standard Class,1,7,6
28/4/2011,First Class,1,2,1
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
28/4/2011,Standard Class,1,5,6
29/4/2011,Second Class,1,2,3
29/4/2011,Second Class,1,2,3
29/4/2011,Standard Class,1,4,6
29/4/2011,Standard Class,1,4,6
29/4/2011,Standard Class,1,5,6
29/4/2011,Standard Class,1,5,6
30/4/2011,First Class,1,2,1
30/4/2011,First Class,1,2,1
30/4/2011,Second Class,1,2,3
2/5/2011,Same Day,1,0,0
2/5/2011,Second Class,1,2,3
3/5/2011,First Class,1,2,1
3/5/2011,Standard Class,1,7,6
3/5/2011,Standard Class,1,7,6
4/5/2011,Same Day,1,0,0
4/5/2011,First Class,1,1,1
4/5/2011,First Class,1,1,1
4/5/2011,First Class,1,3,1
4/5/2011,First Class,1,3,1
4/5/2011,Standard Class,1,4,6
5/5/2011,First Class,1,2,1
5/5/2011,First Class,1,2,1
5/5/2011,First Class,1,3,1
5/5/2011,Second Class,1,4,3
5/5/2011,Second Class,1,4,3
5/5/2011,Second Class,1,4,3
5/5/2011,Standard Class,1,5,6
6/5/2011,Standard Class,1,4,6
6/5/2011,Standard Class,1,5,6
6/5/2011,Standard Class,1,5,6
7/5/2011,Standard Class,1,5,6
7/5/2011,Standard Class,1,5,6
7/5/2011,Standard Class,1,5,6
7/5/2011,Standard Class,1,5,6
8/5/2011,First Class,1,2,1
9/5/2011,Same Day,1,0,0
9/5/2011,Same Day,1,0,0
9/5/2011,Same Day,1,0,0
9/5/2011,Same Day,1,0,0
9/5/2011,Standard Class,1,6,6
9/5/2011,Standard Class,1,6,6
10/5/2011,Second Class,1,4,3
10/5/2011,Second Class,1,4,3
10/5/2011,Standard Class,1,5,6
10/5/2011,Standard Class,1,5,6
10/5/2011,Standard Class,1,5,6
10/5/2011,Standard Class,1,5,6
10/5/2011,Standard Class,1,5,6
10/5/2011,Standard Class,1,5,6
11/5/2011,Standard Class,1,4,6
11/5/2011,Standard Class,1,4,6
11/5/2011,Standard Class,1,5,6
11/5/2011,Standard Class,1,5,6
11/5/2011,Standard Class,1,5,6
11/5/2011,Standard Class,1,5,6
11/5/2011,Standard Class,1,6,6
11/5/2011,Standard Class,1,7,6
12/5/2011,First Class,1,3,1
12/5/2011,Standard Class,1,5,6
13/5/2011,Second Class,1,2,3
13/5/2011,First Class,1,2,1
13/5/2011,First Class,1,2,1
13/5/2011,Standard Class,1,4,6
13/5/2011,Standard Class,1,6,6
13/5/2011,Standard Class,1,6,6
14/5/2011,Standard Class,1,6,6
16/5/2011,Standard Class,1,4,6
16/5/2011,Standard Class,1,7,6
17/5/2011,Standard Class,1,4,6
18/5/2011,Second Class,1,2,3
18/5/2011,Second Class,1,2,3
18/5/2011,Second Class,1,4,3
18/5/2011,Standard Class,1,6,6
19/5/2011,First Class,1,3,1
19/5/2011,Standard Class,1,4,6
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
20/5/2011,Second Class,1,2,3
21/5/2011,Second Class,1,2,3
21/5/2011,Second Class,1,2,3
21/5/2011,Second Class,1,2,3
21/5/2011,Second Class,1,2,3
21/5/2011,Standard Class,1,4,6
21/5/2011,Standard Class,1,4,6
21/5/2011,Standard Class,1,4,6
21/5/2011,Standard Class,1,5,6
21/5/2011,Standard Class,1,5,6
21/5/2011,Standard Class,1,5,6
22/5/2011,Standard Class,1,7,6
22/5/2011,Standard Class,1,7,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
23/5/2011,Standard Class,1,4,6
24/5/2011,Standard Class,1,6,6
25/5/2011,Standard Class,1,4,6
25/5/2011,Standard Class,1,4,6
25/5/2011,Standard Class,1,4,6
26/5/2011,First Class,1,3,1
26/5/2011,Standard Class,1,4,6
26/5/2011,Standard Class,1,4,6
26/5/2011,Standard Class,1,4,6
26/5/2011,Standard Class,1,4,6
26/5/2011,Standard Class,1,5,6
26/5/2011,Standard Class,1,5,6
26/5/2011,Standard Class,1,5,6
27/5/2011,Same Day,1,0,0
27/5/2011,Same Day,1,0,0
27/5/2011,First Class,1,3,1
27/5/2011,Second Class,1,5,3
27/5/2011,Second Class,1,5,3
28/5/2011,Standard Class,1,4,6
28/5/2011,Standard Class,1,5,6
28/5/2011,Standard Class,1,5,6
30/5/2011,First Class,1,2,1
30/5/2011,First Class,1,2,1
30/5/2011,First Class,1,2,1
30/5/2011,First Class,1,2,1
30/5/2011,Standard Class,1,4,6
30/5/2011,Standard Class,1,6,6
30/5/2011,Standard Class,1,6,6
30/5/2011,Standard Class,1,7,6
31/5/2011,Standard Class,1,5,6
31/5/2011,Standard Class,1,5,6
1/6/2011,Standard Class,1,5,6
1/6/2011,Second Class,1,5,3
1/6/2011,Standard Class,1,5,6
1/6/2011,Standard Class,1,5,6
1/6/2011,Second Class,1,5,3
1/6/2011,Second Class,1,5,3
1/6/2011,Second Class,1,5,3
1/6/2011,Second Class,1,5,3
1/6/2011,Standard Class,1,5,6
1/6/2011,Standard Class,1,5,6
1/6/2011,Standard Class,1,5,6
2/6/2011,Standard Class,1,4,6
2/6/2011,Standard Class,1,4,6
2/6/2011,Standard Class,1,4,6
2/6/2011,Standard Class,1,5,6
2/6/2011,Standard Class,1,5,6
3/6/2011,First Class,1,3,1
3/6/2011,First Class,1,3,1
3/6/2011,First Class,1,3,1
3/6/2011,Second Class,1,4,3
3/6/2011,Second Class,1,4,3
4/6/2011,Standard Class,1,5,6
4/6/2011,Standard Class,1,5,6
4/6/2011,Standard Class,1,5,6
4/6/2011,Standard Class,1,5,6
4/6/2011,Standard Class,1,5,6
6/6/2011,First Class,1,3,1
6/6/2011,Standard Class,1,4,6
6/6/2011,Standard Class,1,5,6
6/6/2011,Standard Class,1,5,6
6/6/2011,Standard Class,1,5,6
6/6/2011,Standard Class,1,6,6
6/6/2011,Standard Class,1,6,6
6/6/2011,Standard Class,1,6,6
6/6/2011,Standard Class,1,6,6
7/6/2011,Second Class,1,3,3
7/6/2011,Second Class,1,4,3
8/6/2011,Standard Class,1,4,6
8/6/2011,Standard Class,1,5,6
8/6/2011,Standard Class,1,5,6
8/6/2011,Standard Class,1,6,6
9/6/2011,Second Class,1,2,3
9/6/2011,Second Class,1,4,3
9/6/2011,Second Class,1,4,3
9/6/2011,Second Class,1,4,3
9/6/2011,Second Class,1,4,3
9/6/2011,Second Class,1,4,3
9/6/2011,Second Class,1,4,3
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,5,6
9/6/2011,Standard Class,1,7,6
9/6/2011,Standard Class,1,7,6
10/6/2011,Second Class,1,5,3
13/6/2011,Standard Class,1,4,6
14/6/2011,Standard Class,1,6,6
15/6/2011,Same Day,1,0,0
15/6/2011,Standard Class,1,6,6
15/6/2011,Standard Class,1,6,6
15/6/2011,Standard Class,1,6,6
16/6/2011,Standard Class,1,5,6
16/6/2011,Standard Class,1,5,6
16/6/2011,Standard Class,1,5,6
16/6/2011,Standard Class,1,6,6
17/6/2011,Second Class,1,3,3
17/6/2011,Standard Class,1,4,6
17/6/2011,Standard Class,1,4,6
17/6/2011,Standard Class,1,4,6
17/6/2011,Standard Class,1,6,6
18/6/2011,Standard Class,1,5,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,4,6
20/6/2011,Standard Class,1,7,6
20/6/2011,Standard Class,1,7,6
21/6/2011,Same Day,1,0,0
21/6/2011,Same Day,1,0,0
21/6/2011,Same Day,1,0,0
21/6/2011,Second Class,1,2,3
21/6/2011,Second Class,1,2,3
21/6/2011,Second Class,1,2,3
21/6/2011,First Class,1,3,1
21/6/2011,First Class,1,3,1
21/6/2011,First Class,1,3,1
21/6/2011,First Class,1,3,1
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
21/6/2011,Standard Class,1,4,6
22/6/2011,Same Day,1,0,0
22/6/2011,First Class,1,2,1
22/6/2011,First Class,1,2,1
22/6/2011,First Class,1,3,1
22/6/2011,Standard Class,1,5,6
22/6/2011,Standard Class,1,5,6
22/6/2011,Standard Class,1,5,6
23/6/2011,First Class,1,3,1
23/6/2011,First Class,1,3,1
23/6/2011,Standard Class,1,5,6
24/6/2011,Standard Class,1,4,6
25/6/2011,Second Class,1,2,3
25/6/2011,Second Class,1,2,3
25/6/2011,Second Class,1,2,3
25/6/2011,First Class,1,3,1
27/6/2011,Standard Class,1,4,6
27/6/2011,Standard Class,1,4,6
27/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,4,6
28/6/2011,Standard Class,1,6,6
29/6/2011,Standard Class,1,4,6
29/6/2011,Standard Class,1,7,6
30/6/2011,Same Day,1,0,0
30/6/2011,First Class,1,2,1
30/6/2011,Second Class,1,3,3
30/6/2011,Standard Class,1,4,6
30/6/2011,Standard Class,1,4,6
30/6/2011,Standard Class,1,5,6
30/6/2011,Standard Class,1,6,6
30/6/2011,Standard Class,1,6,6
1/7/2011,Standard Class,1,4,6
1/7/2011,Standard Class,1,4,6
1/7/2011,Second Class,1,5,3
2/7/2011,Standard Class,1,4,6
2/7/2011,Standard Class,1,4,6
4/7/2011,First Class,1,3,1
4/7/2011,First Class,1,3,1
4/7/2011,Standard Class,1,5,6
4/7/2011,Standard Class,1,5,6
5/7/2011,Same Day,1,0,0
5/7/2011,Same Day,1,0,0
5/7/2011,First Class,1,3,1
5/7/2011,First Class,1,3,1
5/7/2011,First Class,1,3,1
5/7/2011,First Class,1,3,1
5/7/2011,First Class,1,3,1
5/7/2011,First Class,1,3,1
5/7/2011,Standard Class,1,6,6
5/7/2011,Standard Class,1,7,6
6/7/2011,First Class,1,2,1
6/7/2011,Standard Class,1,6,6
7/7/2011,Standard Class,1,4,6
7/7/2011,Standard Class,1,4,6
8/7/2011,First Class,1,2,1
8/7/2011,Standard Class,1,4,6
8/7/2011,Standard Class,1,4,6
9/7/2011,Standard Class,1,4,6
9/7/2011,Standard Class,1,4,6
9/7/2011,Standard Class,1,4,6
9/7/2011,Standard Class,1,5,6
9/7/2011,Standard Class,1,5,6
9/7/2011,Standard Class,1,5,6
9/7/2011,Standard Class,1,5,6
9/7/2011,Standard Class,1,6,6
9/7/2011,Standard Class,1,6,6
11/7/2011,First Class,1,3,1
11/7/2011,First Class,1,3,1
11/7/2011,First Class,1,3,1
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
11/7/2011,Standard Class,1,4,6
12/7/2011,Second Class,1,3,3
12/7/2011,Second Class,1,3,3
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,4,6
12/7/2011,Standard Class,1,5,6
12/7/2011,Standard Class,1,5,6
12/7/2011,Standard Class,1,6,6
12/7/2011,Standard Class,1,6,6
13/7/2011,Standard Class,1,4,6
14/7/2011,Second Class,1,3,3
14/7/2011,Standard Class,1,4,6
14/7/2011,Standard Class,1,4,6
14/7/2011,Standard Class,1,4,6
14/7/2011,Standard Class,1,4,6
14/7/2011,Standard Class,1,6,6
14/7/2011,Standard Class,1,6,6
14/7/2011,Standard Class,1,6,6
14/7/2011,Standard Class,1,7,6
15/7/2011,Standard Class,1,4,6
15/7/2011,Standard Class,1,4,6
18/7/2011,Same Day,1,0,0
18/7/2011,Standard Class,1,5,6
19/7/2011,Standard Class,1,5,6
19/7/2011,Standard Class,1,5,6
19/7/2011,Standard Class,1,5,6
19/7/2011,Standard Class,1,5,6
19/7/2011,Standard Class,1,5,6
20/7/2011,Same Day,1,0,0
