Category,Order Date,Region,Profit,Quantity,Sales
Technology,3/3/2011,East,5,1,10
Office Supplies,4/3/2011,South,18,5,355
Office Supplies,4/3/2011,South,2,3,16
Office Supplies,5/3/2011,East,15,3,60
Office Supplies,5/3/2011,East,17,6,50
Office Supplies,5/3/2011,East,46,2,98
Office Supplies,5/3/2011,East,5,2,19
Technology,5/3/2011,East,178,3,480
Furniture,7/3/2011,West,5,1,49
Office Supplies,7/3/2011,West,5,3,18
Office Supplies,7/3/2011,West,5,3,243
Office Supplies,7/3/2011,West,34,2,108
Furniture,7/3/2011,West,54,2,482
Furniture,7/3/2011,West,22,6,437
Office Supplies,7/3/2011,West,9,5,21
Office Supplies,7/3/2011,West,0,5,205
Office Supplies,10/3/2011,Central,11,2,22
Office Supplies,10/3/2011,West,9,4,83
Office Supplies,10/3/2011,West,-16,3,636
Office Supplies,11/3/2011,South,38,3,147
Office Supplies,11/3/2011,South,7,3,15
Technology,11/3/2011,South,14,2,33
Technology,11/3/2011,South,165,3,588
Office Supplies,11/3/2011,East,49,14,109
Office Supplies,11/3/2011,West,2,3,8
Furniture,11/3/2011,East,2,5,8
Office Supplies,11/3/2011,East,2,6,10
Office Supplies,14/3/2011,Central,3,2,8
Technology,14/3/2011,Central,156,2,575
Office Supplies,14/3/2011,West,1,1,3
Office Supplies,14/3/2011,West,5,2,11
Office Supplies,14/3/2011,South,32,6,91
Furniture,14/3/2011,South,285,4,1140
Office Supplies,14/3/2011,West,11,4,33
Office Supplies,14/3/2011,West,20,2,62
Office Supplies,14/3/2011,West,3,1,81
Office Supplies,14/3/2011,West,6,2,21
Technology,14/3/2011,West,7,12,83
Furniture,15/3/2011,South,5,3,46
Office Supplies,15/3/2011,South,-32,4,43
Office Supplies,15/3/2011,South,-6,3,7
Office Supplies,15/3/2011,South,48,3,132
Office Supplies,15/3/2011,South,18,1,143
Technology,16/3/2011,South,29,2,472
Office Supplies,17/3/2011,Central,0,2,4
Office Supplies,17/3/2011,Central,2,1,5
Office Supplies,17/3/2011,Central,5,3,16
Office Supplies,17/3/2011,East,41,6,127
Furniture,17/3/2011,East,-554,4,1072
Furniture,17/3/2011,East,-448,7,1580
Furniture,17/3/2011,East,-123,3,614
Office Supplies,17/3/2011,East,76,4,155
Office Supplies,17/3/2011,East,16,7,35
Office Supplies,17/3/2011,South,8,3,33
Office Supplies,17/3/2011,South,5,3,11
Office Supplies,17/3/2011,South,15,2,30
Office Supplies,17/3/2011,South,8,4,16
Office Supplies,17/3/2011,South,6,2,13
Office Supplies,17/3/2011,Central,37,2,94
Office Supplies,17/3/2011,Central,6,6,20
Office Supplies,17/3/2011,Central,17,6,36
Office Supplies,17/3/2011,Central,25,10,53
Office Supplies,17/3/2011,Central,24,7,47
Furniture,18/3/2011,West,70,10,1198
Furniture,18/3/2011,South,15,3,122
Furniture,18/3/2011,South,8,2,31
Office Supplies,18/3/2011,South,1,3,8
Office Supplies,18/3/2011,South,6,3,19
Office Supplies,18/3/2011,South,7,4,21
Technology,18/3/2011,South,-1811,6,22638
Technology,18/3/2011,South,-16,4,821
Furniture,18/3/2011,West,14,2,111
Office Supplies,18/3/2011,West,334,7,1856
Technology,18/3/2011,West,416,4,1280
Furniture,19/3/2011,South,6,3,20
Furniture,19/3/2011,South,1,3,5
Office Supplies,19/3/2011,South,-26,5,34
Office Supplies,19/3/2011,South,4,4,12
Office Supplies,19/3/2011,South,2,3,26
Technology,19/3/2011,South,53,2,170
Technology,19/3/2011,South,28,3,324
Furniture,21/3/2011,South,-11,3,218
Furniture,21/3/2011,South,7,3,33
Office Supplies,21/3/2011,East,1,2,7
Office Supplies,21/3/2011,East,2,3,6
Office Supplies,21/3/2011,South,22,5,59
Office Supplies,21/3/2011,South,3,4,9
Office Supplies,21/3/2011,South,59,3,123
Office Supplies,21/3/2011,South,7,5,14
Office Supplies,21/3/2011,South,60,3,123
Office Supplies,21/3/2011,South,-4,1,16
Technology,21/3/2011,South,910,7,3500
Office Supplies,22/3/2011,Central,7,2,16
Furniture,22/3/2011,West,-35,3,314
Office Supplies,22/3/2011,South,-6,4,8
Office Supplies,22/3/2011,South,-39,5,51
Office Supplies,22/3/2011,West,23,3,74
Office Supplies,23/3/2011,South,3,3,10
Office Supplies,23/3/2011,West,86,2,330
Technology,23/3/2011,West,38,6,605
Office Supplies,24/3/2011,East,12,5,25
Furniture,24/3/2011,West,15,2,40
Office Supplies,25/3/2011,West,10,6,25
Office Supplies,25/3/2011,West,4,2,15
Office Supplies,25/3/2011,West,2,2,7
Technology,25/3/2011,West,16,4,45
Furniture,25/3/2011,East,65,7,367
Office Supplies,26/3/2011,West,9,5,19
Technology,26/3/2011,West,9,3,66
Office Supplies,26/3/2011,West,1,2,3
Office Supplies,26/3/2011,West,9,4,28
Technology,26/3/2011,West,3,2,29
Technology,28/3/2011,West,23,3,302
Furniture,28/3/2011,Central,107,4,1185
Office Supplies,28/3/2011,Central,3,3,6
Furniture,28/3/2011,East,-143,1,331
Furniture,29/3/2011,Central,-153,3,891
Office Supplies,30/3/2011,East,3,5,11
Furniture,30/3/2011,Central,-9,7,127
Office Supplies,30/3/2011,Central,113,5,336
Technology,30/3/2011,Central,88,7,252
Office Supplies,30/3/2011,East,21,5,50
Furniture,30/3/2011,West,-12,2,206
Office Supplies,30/3/2011,West,22,3,44
Office Supplies,30/3/2011,West,0,3,16
Office Supplies,30/3/2011,Central,6,2,129
Furniture,31/3/2011,South,98,7,1125
Office Supplies,31/3/2011,East,-1,1,1
Office Supplies,31/3/2011,South,1,2,4
Office Supplies,31/3/2011,South,-10,5,13
Office Supplies,31/3/2011,Central,-14,7,8
Office Supplies,31/3/2011,South,-1,1,2
Technology,31/3/2011,Central,14,2,80
Office Supplies,31/3/2011,West,15,2,53
Office Supplies,31/3/2011,West,253,2,674
Office Supplies,1/4/2011,West,6,4,17
Office Supplies,1/4/2011,West,15,2,30
Office Supplies,1/4/2011,East,3,2,6
Office Supplies,1/4/2011,East,3,4,67
Office Supplies,2/4/2011,Central,9,5,27
Office Supplies,2/4/2011,Central,10,7,33
Furniture,2/4/2011,South,46,2,178
Office Supplies,2/4/2011,South,40,5,155
Office Supplies,2/4/2011,South,7,3,16
Technology,2/4/2011,South,294,7,1050
Office Supplies,3/4/2011,West,6,2,11
Technology,3/4/2011,West,22,3,62
Technology,3/4/2011,West,58,2,160
Office Supplies,4/4/2011,West,2,2,7
Office Supplies,4/4/2011,South,6,2,13
Office Supplies,4/4/2011,South,9,3,19
Office Supplies,4/4/2011,South,9,5,233
Technology,4/4/2011,South,43,2,100
Furniture,4/4/2011,Central,2,1,5
Office Supplies,4/4/2011,Central,24,4,79
Office Supplies,4/4/2011,West,9,6,19
Office Supplies,5/4/2011,Central,5,3,14
Office Supplies,5/4/2011,Central,7,2,27
Office Supplies,5/4/2011,Central,18,5,40
Office Supplies,5/4/2011,Central,21,6,690
Office Supplies,5/4/2011,Central,4,4,52
Office Supplies,5/4/2011,Central,4,4,50
Office Supplies,5/4/2011,East,27,1,55
Office Supplies,5/4/2011,South,8,7,23
Office Supplies,5/4/2011,South,7,7,23
Office Supplies,5/4/2011,South,6,2,13
Office Supplies,5/4/2011,South,83,5,4164
Office Supplies,5/4/2011,South,57,7,115
Technology,5/4/2011,South,8,1,29
Furniture,6/4/2011,East,-36,3,155
Office Supplies,6/4/2011,East,-2,1,10
Technology,6/4/2011,East,22,2,117
Office Supplies,6/4/2011,East,-36,6,45
Office Supplies,6/4/2011,West,18,3,71
Office Supplies,6/4/2011,West,24,2,66
Technology,6/4/2011,West,132,3,300
Furniture,6/4/2011,West,13,7,33
Furniture,6/4/2011,West,16,2,92
Furniture,6/4/2011,West,111,3,654
Office Supplies,6/4/2011,West,27,1,55
Office Supplies,6/4/2011,West,9,3,19
Technology,6/4/2011,West,2,2,34
Office Supplies,7/4/2011,South,28,9,58
Technology,7/4/2011,South,50,3,201
Furniture,7/4/2011,South,3,2,9
Office Supplies,7/4/2011,South,60,3,123
Technology,7/4/2011,South,164,5,630
Furniture,8/4/2011,East,-95,1,172
Furniture,8/4/2011,South,316,8,1216
Furniture,8/4/2011,West,2,1,100
Technology,8/4/2011,West,140,4,400
Office Supplies,8/4/2011,West,-12,8,50
Office Supplies,8/4/2011,West,1,2,2
Office Supplies,8/4/2011,West,7,3,19
Office Supplies,11/4/2011,South,2,3,7
Office Supplies,11/4/2011,South,4,2,10
Technology,11/4/2011,South,42,7,336
Technology,11/4/2011,South,82,3,384
Office Supplies,11/4/2011,West,3,1,10
Technology,11/4/2011,Central,265,6,758
Office Supplies,11/4/2011,West,24,7,87
Technology,11/4/2011,West,91,6,217
Technology,11/4/2011,West,9,2,106
Furniture,12/4/2011,West,-18,3,308
Office Supplies,12/4/2011,Central,16,5,32
Office Supplies,12/4/2011,West,7,7,18
Technology,12/4/2011,West,38,4,438
Technology,12/4/2011,West,94,14,1075
Office Supplies,12/4/2011,West,16,2,40
Office Supplies,13/4/2011,East,1,4,18
Office Supplies,13/4/2011,East,-408,10,510
Office Supplies,13/4/2011,East,10,13,31
Technology,13/4/2011,East,8,12,72
Office Supplies,13/4/2011,East,4,3,8
Furniture,15/4/2011,West,77,4,188
Office Supplies,15/4/2011,West,31,2,107
Office Supplies,16/4/2011,South,10,6,39
Furniture,18/4/2011,Central,-18,3,317
Office Supplies,18/4/2011,Central,1,2,3
Office Supplies,18/4/2011,Central,50,3,149
Technology,18/4/2011,Central,28,3,228
Office Supplies,18/4/2011,West,4,5,11
Office Supplies,18/4/2011,West,4,4,13
Office Supplies,18/4/2011,West,4,2,12
Technology,18/4/2011,West,97,4,288
Furniture,19/4/2011,West,27,3,76
Office Supplies,19/4/2011,South,27,3,58
Office Supplies,19/4/2011,South,34,11,71
Furniture,20/4/2011,Central,-96,5,744
Furniture,20/4/2011,Central,-132,2,402
Office Supplies,20/4/2011,Central,6,5,45
Furniture,20/4/2011,West,28,4,60
Office Supplies,21/4/2011,West,6,5,17
Office Supplies,21/4/2011,South,0,6,829
Office Supplies,22/4/2011,East,3,3,10
Office Supplies,22/4/2011,East,121,8,248
Office Supplies,23/4/2011,East,-2,3,3
Office Supplies,23/4/2011,West,23,1,49
Furniture,23/4/2011,East,-12,2,281
Furniture,23/4/2011,East,-12,2,281
Furniture,23/4/2011,East,8,4,22
Office Supplies,23/4/2011,East,-5,8,7
Office Supplies,25/4/2011,Central,1,3,6
Office Supplies,25/4/2011,Central,4,2,10
Technology,25/4/2011,South,38,3,302
Furniture,25/4/2011,West,149,5,1487
Furniture,25/4/2011,West,64,5,303
Office Supplies,25/4/2011,West,79,3,271
Office Supplies,26/4/2011,West,6,5,21
Office Supplies,26/4/2011,West,6,2,13
Furniture,26/4/2011,West,23,3,230
Office Supplies,26/4/2011,West,6,6,18
Technology,28/4/2011,West,126,5,1680
Office Supplies,28/4/2011,East,1,2,5
Office Supplies,28/4/2011,East,9,2,21
Office Supplies,28/4/2011,East,2,1,3
Office Supplies,28/4/2011,East,3,3,7
Office Supplies,28/4/2011,East,129,9,498
Office Supplies,28/4/2011,East,-38,2,178
Office Supplies,28/4/2011,East,2,3,27
Technology,28/4/2011,East,58,2,160
Furniture,29/4/2011,South,13,2,52
Office Supplies,29/4/2011,South,9,3,18
Furniture,29/4/2011,South,70,2,562
Office Supplies,29/4/2011,South,-1,5,100
Furniture,29/4/2011,East,6,2,17
Technology,29/4/2011,East,5,2,20
Office Supplies,30/4/2011,South,45,5,175
Office Supplies,30/4/2011,South,215,5,826
Technology,30/4/2011,South,16,3,48
Office Supplies,2/5/2011,East,2,3,26
Technology,2/5/2011,South,90,2,480
Office Supplies,3/5/2011,Central,10,7,22
Office Supplies,3/5/2011,East,4,3,11
Office Supplies,3/5/2011,East,15,3,40
Furniture,4/5/2011,East,10,2,27
Office Supplies,4/5/2011,Central,3,2,38
Office Supplies,4/5/2011,Central,2,6,5
Furniture,4/5/2011,West,4,7,12
Office Supplies,4/5/2011,West,19,4,58
Office Supplies,4/5/2011,Central,21,4,47
Office Supplies,5/5/2011,South,5,2,12
Office Supplies,5/5/2011,South,17,1,35
Furniture,5/5/2011,Central,-9,3,128
Office Supplies,5/5/2011,South,2,2,7
Office Supplies,5/5/2011,South,4,3,9
Office Supplies,5/5/2011,South,12,2,25
Office Supplies,5/5/2011,Central,4,2,45
Office Supplies,6/5/2011,West,53,8,141
Office Supplies,6/5/2011,West,30,6,108
Office Supplies,6/5/2011,West,3,2,6
Furniture,7/5/2011,East,244,4,872
Furniture,7/5/2011,East,-39,2,194
Office Supplies,7/5/2011,East,3,3,9
Office Supplies,7/5/2011,East,8,3,16
Technology,8/5/2011,East,240,5,1800
Office Supplies,9/5/2011,South,9,5,21
Office Supplies,9/5/2011,South,5,3,9
Office Supplies,9/5/2011,South,22,7,45
Office Supplies,9/5/2011,South,15,3,83
Technology,9/5/2011,West,4,4,68
Technology,9/5/2011,West,40,3,168
Furniture,10/5/2011,East,-217,7,350
Office Supplies,10/5/2011,East,5,5,22
Furniture,10/5/2011,West,32,1,257
Office Supplies,10/5/2011,West,77,3,158
Office Supplies,10/5/2011,West,19,2,40
Office Supplies,10/5/2011,West,11,6,41
Technology,10/5/2011,West,125,5,1432
Technology,10/5/2011,West,4,5,44
Office Supplies,11/5/2011,Central,-173,9,105
Office Supplies,11/5/2011,Central,6,3,17
Furniture,11/5/2011,Central,-84,4,66
Furniture,11/5/2011,Central,-69,8,1213
Technology,11/5/2011,Central,7,2,58
Technology,11/5/2011,Central,6,1,101
Technology,11/5/2011,Central,8,2,47
Office Supplies,11/5/2011,East,10,3,36
Furniture,12/5/2011,Central,11,7,35
Furniture,12/5/2011,East,-130,3,700
Office Supplies,13/5/2011,West,10,2,56
Office Supplies,13/5/2011,South,-332,8,398
Office Supplies,13/5/2011,South,2,2,7
Technology,13/5/2011,West,52,3,150
Furniture,13/5/2011,West,21,6,279
Office Supplies,13/5/2011,West,4,2,8
Furniture,14/5/2011,South,23,2,311
Technology,16/5/2011,West,3,3,56
Furniture,16/5/2011,West,17,5,233
Office Supplies,17/5/2011,Central,46,3,92
Furniture,18/5/2011,East,4,3,149
Office Supplies,18/5/2011,East,6,4,16
Office Supplies,18/5/2011,Central,1,1,4
Technology,18/5/2011,East,-169,2,780
Office Supplies,19/5/2011,South,9,5,34
Office Supplies,19/5/2011,Central,26,9,57
Furniture,20/5/2011,Central,-6,3,10
Furniture,20/5/2011,East,60,7,140
Office Supplies,20/5/2011,Central,4,2,10
Office Supplies,20/5/2011,Central,-13,5,67
Office Supplies,20/5/2011,East,9,4,33
Office Supplies,20/5/2011,East,12,9,39
Technology,20/5/2011,Central,-4,2,21
Furniture,21/5/2011,Central,-29,2,108
Office Supplies,21/5/2011,Central,-31,3,18
Office Supplies,21/5/2011,Central,21,6,56
Office Supplies,21/5/2011,Central,2,1,5
Office Supplies,21/5/2011,South,1276,7,2716
Office Supplies,21/5/2011,West,11,8,32
Technology,21/5/2011,South,173,3,618
Office Supplies,21/5/2011,East,69,6,246
Office Supplies,21/5/2011,East,219,7,448
Office Supplies,21/5/2011,East,9,3,18
Technology,22/5/2011,South,34,2,136
Technology,22/5/2011,South,13,1,45
Office Supplies,23/5/2011,East,56,1,208
Office Supplies,23/5/2011,East,2,9,21
Office Supplies,23/5/2011,East,6,5,18
Office Supplies,23/5/2011,East,-3,2,3
Office Supplies,23/5/2011,East,0,2,5
Office Supplies,23/5/2011,West,6,2,13
Technology,23/5/2011,East,-10,2,55
Office Supplies,24/5/2011,East,57,3,116
Furniture,25/5/2011,Central,-24,2,29
Office Supplies,25/5/2011,Central,-166,2,76
Office Supplies,25/5/2011,East,7,2,15
Office Supplies,26/5/2011,West,23,5,48
Furniture,26/5/2011,West,23,2,225
Furniture,26/5/2011,West,27,2,291
Technology,26/5/2011,West,31,2,84
Technology,26/5/2011,West,20,2,202
Furniture,26/5/2011,Central,-5,2,360
Office Supplies,26/5/2011,Central,3,3,13
Office Supplies,26/5/2011,Central,8,3,103
Furniture,27/5/2011,West,-28,10,567
Office Supplies,27/5/2011,West,7,4,359
Office Supplies,27/5/2011,Central,-31,6,17
Technology,27/5/2011,West,38,1,100
Technology,27/5/2011,West,125,12,1114
Office Supplies,28/5/2011,West,51,4,137
Technology,28/5/2011,West,2,4,28
Technology,28/5/2011,West,6,6,57
Office Supplies,30/5/2011,East,78,3,236
Office Supplies,30/5/2011,East,9,2,26
Office Supplies,30/5/2011,East,18,4,40
Technology,30/5/2011,East,135,5,464
Technology,30/5/2011,Central,135,3,720
Furniture,30/5/2011,Central,-185,3,355
Office Supplies,30/5/2011,South,6,3,14
Office Supplies,30/5/2011,East,26,4,70
Technology,31/5/2011,South,33,3,114
Technology,31/5/2011,South,198,3,660
Furniture,1/6/2011,South,9,6,22
Furniture,1/6/2011,Central,581,7,2002
Office Supplies,1/6/2011,Central,12,5,66
Office Supplies,1/6/2011,Central,67,4,139
Office Supplies,1/6/2011,Central,496,5,1503
Office Supplies,1/6/2011,Central,24,6,48
Office Supplies,1/6/2011,Central,12,4,26
Office Supplies,1/6/2011,Central,42,2,167
Office Supplies,1/6/2011,East,84,6,289
Office Supplies,1/6/2011,East,21,3,45
Technology,1/6/2011,South,229,7,882
Office Supplies,2/6/2011,South,3,2,9
Office Supplies,2/6/2011,South,107,2,357
Technology,2/6/2011,South,67,3,240
Furniture,2/6/2011,West,22,6,73
Office Supplies,2/6/2011,West,19,3,60
Furniture,3/6/2011,Central,-40,7,62
Office Supplies,3/6/2011,Central,5,4,16
Office Supplies,3/6/2011,Central,10,3,133
Furniture,3/6/2011,West,113,6,516
Office Supplies,3/6/2011,Central,7,2,15
Furniture,4/6/2011,East,-44,2,354
Furniture,4/6/2011,East,7,2,14
Furniture,4/6/2011,East,21,2,57
Office Supplies,4/6/2011,East,4,4,16
Office Supplies,4/6/2011,East,6,2,16
Office Supplies,6/6/2011,East,5,2,13
Office Supplies,6/6/2011,Central,34,10,100
Furniture,6/6/2011,East,-347,3,992
Office Supplies,6/6/2011,East,50,9,150
Office Supplies,6/6/2011,East,4,2,17
Office Supplies,6/6/2011,Central,-38,3,25
Office Supplies,6/6/2011,Central,5,2,14
Office Supplies,6/6/2011,South,-1,1,1
Office Supplies,6/6/2011,South,22,2,62
Office Supplies,7/6/2011,Central,-21,3,12
Furniture,7/6/2011,Central,-210,3,269
Furniture,8/6/2011,South,11,3,170
Office Supplies,8/6/2011,East,26,2,68
Office Supplies,8/6/2011,East,84,6,1677
Furniture,8/6/2011,West,73,3,586
Furniture,9/6/2011,South,245,7,1441
Furniture,9/6/2011,West,14,2,37
Office Supplies,9/6/2011,West,5,7,18
Office Supplies,9/6/2011,West,36,3,79
Office Supplies,9/6/2011,Central,6,2,70
Technology,9/6/2011,Central,10,2,64
Technology,9/6/2011,Central,1,1,8
Furniture,9/6/2011,West,14,7,49
Furniture,9/6/2011,West,85,9,1706
Office Supplies,9/6/2011,West,34,5,115
Office Supplies,9/6/2011,West,2,4,7
Office Supplies,9/6/2011,West,6,3,19
Technology,9/6/2011,West,68,4,911
Technology,9/6/2011,West,91,6,907
Office Supplies,9/6/2011,West,11,2,23
Office Supplies,9/6/2011,West,0,2,7
Office Supplies,10/6/2011,Central,241,5,492
Office Supplies,13/6/2011,West,5,3,15
Furniture,14/6/2011,Central,57,3,213
Office Supplies,15/6/2011,Central,12,2,37
Furniture,15/6/2011,Central,-57,4,798
Furniture,15/6/2011,Central,-19,2,100
Office Supplies,15/6/2011,Central,-15,3,9
Office Supplies,16/6/2011,East,11,4,35
Office Supplies,16/6/2011,East,14,3,40
Office Supplies,16/6/2011,East,19,5,41
Furniture,16/6/2011,Central,32,8,648
Office Supplies,17/6/2011,Central,22,2,62
Furniture,17/6/2011,West,3,3,6
Office Supplies,17/6/2011,West,1062,3,3266
Office Supplies,17/6/2011,West,9,5,18
Technology,17/6/2011,East,31,3,66
Technology,18/6/2011,West,12,5,140
Furniture,20/6/2011,Central,-20,4,193
Office Supplies,20/6/2011,Central,-5,4,3
Office Supplies,20/6/2011,Central,4,2,12
Office Supplies,20/6/2011,Central,5,3,16
Office Supplies,20/6/2011,Central,-127,7,509
Technology,20/6/2011,Central,-98,2,419
Technology,20/6/2011,Central,20,2,202
Office Supplies,20/6/2011,Central,156,6,472
Office Supplies,20/6/2011,Central,2,2,4
Office Supplies,21/6/2011,West,-17,2,25
Office Supplies,21/6/2011,West,-8,7,11
Technology,21/6/2011,East,352,3,1215
Furniture,21/6/2011,South,15,1,104
Office Supplies,21/6/2011,South,10,3,37
Technology,21/6/2011,South,74,1,285
Office Supplies,21/6/2011,East,27,3,60
Office Supplies,21/6/2011,East,6,5,21
Office Supplies,21/6/2011,East,9,3,20
Technology,21/6/2011,East,161,3,618
Furniture,21/6/2011,East,1,1,4
Office Supplies,21/6/2011,East,4,2,44
Office Supplies,21/6/2011,East,1,2,4
Office Supplies,21/6/2011,East,-7,2,9
Office Supplies,21/6/2011,East,8,4,25
Technology,21/6/2011,East,29,4,96
Technology,21/6/2011,East,-172,3,207
Technology,21/6/2011,East,357,7,1323
Office Supplies,22/6/2011,West,-6,3,8
Office Supplies,22/6/2011,Central,10,3,162
Office Supplies,22/6/2011,Central,0,3,502
Technology,22/6/2011,West,57,6,197
Furniture,22/6/2011,East,0,5,854
Furniture,22/6/2011,East,-5,3,170
Technology,22/6/2011,East,-15,3,83
