Order Date,Postal Code,Region,State,Profit,Profit Ratio,Sales
14/3/2011,84321,West,Utah,3,0.04,81
14/3/2011,84321,West,Utah,6,0.27,21
14/3/2011,84321,West,Utah,7,0.08,83
15/3/2011,33614,South,Florida,5,0.113,46
15/3/2011,33614,South,Florida,-32,-0.733,43
15/3/2011,33614,South,Florida,-6,-0.767,7
15/3/2011,33614,South,Florida,48,0.363,132
15/3/2011,33614,South,Florida,18,0.125,143
16/3/2011,27604,South,North Carolina,29,0.063,472
17/3/2011,75217,Central,Texas,0,0.075,4
17/3/2011,75217,Central,Texas,2,0.363,5
17/3/2011,75217,Central,Texas,5,0.35,16
17/3/2011,19134,East,Pennsylvania,41,0.325,127
17/3/2011,10024,East,New York,-554,-0.517,1072
17/3/2011,10024,East,New York,-448,-0.283,1580
17/3/2011,10024,East,New York,-123,-0.2,614
17/3/2011,10024,East,New York,76,0.49,155
17/3/2011,10024,East,New York,16,0.47,35
17/3/2011,39212,South,Mississippi,8,0.26,33
17/3/2011,39212,South,Mississippi,5,0.47,11
17/3/2011,39212,South,Mississippi,15,0.49,30
17/3/2011,39212,South,Mississippi,8,0.48,16
17/3/2011,39212,South,Mississippi,6,0.49,13
17/3/2011,55044,Central,Minnesota,37,0.39,94
17/3/2011,55044,Central,Minnesota,6,0.29,20
17/3/2011,55044,Central,Minnesota,17,0.48,36
17/3/2011,55044,Central,Minnesota,25,0.47,53
17/3/2011,55044,Central,Minnesota,24,0.5,47
18/3/2011,94110,West,California,70,0.059,1198
18/3/2011,32216,South,Florida,15,0.125,122
18/3/2011,32216,South,Florida,8,0.263,31
18/3/2011,32216,South,Florida,1,0.125,8
18/3/2011,32216,South,Florida,6,0.313,19
18/3/2011,32216,South,Florida,7,0.35,21
18/3/2011,32216,South,Florida,-1811,-0.08,22638
18/3/2011,32216,South,Florida,-16,-0.02,821
18/3/2011,91505,West,California,14,0.13,111
18/3/2011,91505,West,California,334,0.18,1856
18/3/2011,91505,West,California,416,0.325,1280
19/3/2011,33801,South,Florida,6,0.275,20
19/3/2011,33801,South,Florida,1,0.275,5
19/3/2011,33801,South,Florida,-26,-0.767,34
19/3/2011,33801,South,Florida,4,0.338,12
19/3/2011,33801,South,Florida,2,0.075,26
19/3/2011,33801,South,Florida,53,0.313,170
19/3/2011,33801,South,Florida,28,0.087,324
21/3/2011,37918,South,Tennessee,-11,-0.05,218
21/3/2011,37918,South,Tennessee,7,0.2,33
21/3/2011,45011,East,Ohio,1,0.163,7
21/3/2011,45011,East,Ohio,2,0.263,6
21/3/2011,37918,South,Tennessee,22,0.375,59
21/3/2011,22153,South,Virginia,3,0.29,9
21/3/2011,22153,South,Virginia,59,0.48,123
21/3/2011,22153,South,Virginia,7,0.46,14
21/3/2011,22153,South,Virginia,60,0.49,123
21/3/2011,28806,South,North Carolina,-4,-0.238,16
21/3/2011,22153,South,Virginia,910,0.26,3500
22/3/2011,46368,Central,Indiana,7,0.4,16
22/3/2011,85705,West,Arizona,-35,-0.113,314
22/3/2011,27405,South,North Carolina,-6,-0.767,8
22/3/2011,27405,South,North Carolina,-39,-0.767,51
22/3/2011,85705,West,Arizona,23,0.313,74
23/3/2011,33445,South,Florida,3,0.325,10
23/3/2011,90036,West,California,86,0.26,330
23/3/2011,90036,West,California,38,0.063,605
24/3/2011,10024,East,New York,12,0.47,25
24/3/2011,93727,West,California,15,0.36,40
25/3/2011,94110,West,California,10,0.39,25
25/3/2011,94110,West,California,4,0.25,15
25/3/2011,94110,West,California,2,0.29,7
25/3/2011,94110,West,California,16,0.35,45
25/3/2011,10009,East,New York,65,0.178,367
26/3/2011,91767,West,California,9,0.48,19
26/3/2011,90036,West,California,9,0.13,66
26/3/2011,94122,West,California,1,0.25,3
26/3/2011,94122,West,California,9,0.338,28
26/3/2011,94122,West,California,3,0.1,29
28/3/2011,87105,West,New Mexico,23,0.075,302
28/3/2011,50315,Central,Iowa,107,0.09,1185
28/3/2011,50315,Central,Iowa,3,0.47,6
28/3/2011,45503,East,Ohio,-143,-0.433,331
29/3/2011,75023,Central,Texas,-153,-0.171,891
30/3/2011,10009,East,New York,3,0.28,11
30/3/2011,78521,Central,Texas,-9,-0.071,127
30/3/2011,78521,Central,Texas,113,0.338,336
30/3/2011,78521,Central,Texas,88,0.35,252
30/3/2011,11561,East,New York,21,0.42,50
30/3/2011,94110,West,California,-12,-0.059,206
30/3/2011,98105,West,Washington,22,0.5,44
30/3/2011,98105,West,Washington,0,0,16
30/3/2011,55124,Central,Minnesota,6,0.05,129
31/3/2011,33614,South,Florida,98,0.088,1125
31/3/2011,19120,East,Pennsylvania,-1,-0.7,1
31/3/2011,33614,South,Florida,1,0.263,4
31/3/2011,33614,South,Florida,-10,-0.8,13
31/3/2011,60610,Central,Illinois,-14,-1.7,8
31/3/2011,33180,South,Florida,-1,-0.7,2
31/3/2011,60610,Central,Illinois,14,0.175,80
31/3/2011,94122,West,California,15,0.28,53
31/3/2011,94122,West,California,253,0.375,674
1/4/2011,94591,West,California,6,0.325,17
1/4/2011,94591,West,California,15,0.5,30
1/4/2011,2151,East,Massachusetts,3,0.49,6
1/4/2011,2151,East,Massachusetts,3,0.04,67
2/4/2011,77095,Central,Texas,9,0.35,27
2/4/2011,77095,Central,Texas,10,0.313,33
2/4/2011,23464,South,Virginia,46,0.26,178
2/4/2011,30605,South,Georgia,40,0.26,155
2/4/2011,30605,South,Georgia,7,0.45,16
2/4/2011,30605,South,Georgia,294,0.28,1050
3/4/2011,90008,West,California,6,0.5,11
3/4/2011,90008,West,California,22,0.36,62
3/4/2011,90008,West,California,58,0.36,160
4/4/2011,90008,West,California,2,0.313,7
4/4/2011,70506,South,Louisiana,6,0.49,13
4/4/2011,70506,South,Louisiana,9,0.48,19
4/4/2011,70506,South,Louisiana,9,0.04,233
4/4/2011,70506,South,Louisiana,43,0.43,100
4/4/2011,48205,Central,Michigan,2,0.43,5
4/4/2011,48205,Central,Michigan,24,0.3,79
4/4/2011,94109,West,California,9,0.48,19
5/4/2011,48127,Central,Michigan,5,0.33,14
5/4/2011,48127,Central,Michigan,7,0.28,27
5/4/2011,48127,Central,Michigan,18,0.45,40
5/4/2011,48127,Central,Michigan,21,0.03,690
5/4/2011,62521,Central,Illinois,4,0.075,52
5/4/2011,62521,Central,Illinois,4,0.075,50
5/4/2011,10035,East,New York,27,0.48,55
5/4/2011,22304,South,Virginia,8,0.33,23
5/4/2011,22304,South,Virginia,7,0.29,23
5/4/2011,22304,South,Virginia,6,0.49,13
5/4/2011,22304,South,Virginia,83,0.02,4164
5/4/2011,40475,South,Kentucky,57,0.49,115
5/4/2011,22304,South,Virginia,8,0.29,29
6/4/2011,19143,East,Pennsylvania,-36,-0.233,155
6/4/2011,19143,East,Pennsylvania,-2,-0.213,10
6/4/2011,19143,East,Pennsylvania,22,0.188,117
6/4/2011,17602,East,Pennsylvania,-36,-0.8,45
6/4/2011,90004,West,California,18,0.26,71
6/4/2011,90004,West,California,24,0.363,66
6/4/2011,90004,West,California,132,0.44,300
6/4/2011,90049,West,California,13,0.39,33
6/4/2011,90049,West,California,16,0.17,92
6/4/2011,98115,West,Washington,111,0.17,654
6/4/2011,90049,West,California,27,0.48,55
6/4/2011,90049,West,California,9,0.48,19
6/4/2011,98115,West,Washington,2,0.06,34
7/4/2011,30062,South,Georgia,28,0.48,58
7/4/2011,30062,South,Georgia,50,0.25,201
7/4/2011,36608,South,Alabama,3,0.31,9
7/4/2011,29203,South,South Carolina,60,0.49,123
7/4/2011,29203,South,South Carolina,164,0.26,630
8/4/2011,43615,East,Ohio,-95,-0.55,172
8/4/2011,35601,South,Alabama,316,0.26,1216
8/4/2011,94521,West,California,2,0.025,100
8/4/2011,94521,West,California,140,0.35,400
8/4/2011,85224,West,Arizona,-12,-0.238,50
8/4/2011,85301,West,Arizona,1,0.35,2
8/4/2011,85301,West,Arizona,7,0.363,19
11/4/2011,33180,South,Florida,2,0.338,7
11/4/2011,33180,South,Florida,4,0.35,10
11/4/2011,33180,South,Florida,42,0.125,336
11/4/2011,33180,South,Florida,82,0.213,384
11/4/2011,83501,West,Idaho,3,0.35,10
11/4/2011,78745,Central,Texas,265,0.35,758
11/4/2011,59405,West,Montana,24,0.28,87
11/4/2011,59405,West,Montana,91,0.42,217
11/4/2011,59405,West,Montana,9,0.088,106
12/4/2011,90278,West,California,-18,-0.059,308
12/4/2011,47401,Central,Indiana,16,0.48,32
12/4/2011,90278,West,California,7,0.363,18
12/4/2011,90278,West,California,38,0.088,438
12/4/2011,90278,West,California,94,0.088,1075
12/4/2011,95240,West,California,16,0.41,40
13/4/2011,19140,East,Pennsylvania,1,0.062,18
13/4/2011,19140,East,Pennsylvania,-408,-0.8,510
13/4/2011,19140,East,Pennsylvania,10,0.325,31
13/4/2011,19140,East,Pennsylvania,8,0.117,72
13/4/2011,21215,East,Maryland,4,0.46,8
15/4/2011,90049,West,California,77,0.41,188
15/4/2011,90049,West,California,31,0.29,107
16/4/2011,28403,South,North Carolina,10,0.25,39
18/4/2011,77095,Central,Texas,-18,-0.057,317
18/4/2011,77095,Central,Texas,1,0.375,3
18/4/2011,77095,Central,Texas,50,0.338,149
18/4/2011,77095,Central,Texas,28,0.125,228
18/4/2011,90049,West,California,4,0.33,11
18/4/2011,90049,West,California,4,0.29,13
18/4/2011,90049,West,California,4,0.31,12
18/4/2011,90049,West,California,97,0.338,288
19/4/2011,95123,West,California,27,0.35,76
19/4/2011,22204,South,Virginia,27,0.46,58
19/4/2011,22204,South,Virginia,34,0.48,71
20/4/2011,77070,Central,Texas,-96,-0.129,744
20/4/2011,77070,Central,Texas,-132,-0.329,402
20/4/2011,77070,Central,Texas,6,0.125,45
20/4/2011,90045,West,California,28,0.46,60
21/4/2011,90008,West,California,6,0.338,17
21/4/2011,42420,South,Kentucky,0,0,829
22/4/2011,12180,East,New York,3,0.338,10
22/4/2011,12180,East,New York,121,0.49,248
23/4/2011,19134,East,Pennsylvania,-2,-0.7,3
23/4/2011,94109,West,California,23,0.47,49
23/4/2011,43229,East,Ohio,-12,-0.043,281
23/4/2011,43229,East,Ohio,-12,-0.043,281
23/4/2011,43229,East,Ohio,8,0.35,22
23/4/2011,43229,East,Ohio,-5,-0.7,7
25/4/2011,77095,Central,Texas,1,0.088,6
25/4/2011,77095,Central,Texas,4,0.35,10
25/4/2011,28403,South,North Carolina,38,0.125,302
25/4/2011,91776,West,California,149,0.1,1487
25/4/2011,91776,West,California,64,0.21,303
25/4/2011,91776,West,California,79,0.29,271
26/4/2011,90036,West,California,6,0.29,21
26/4/2011,90036,West,California,6,0.46,13
26/4/2011,90049,West,California,23,0.1,230
26/4/2011,90049,West,California,6,0.313,18
28/4/2011,94122,West,California,126,0.075,1680
28/4/2011,21215,East,Maryland,1,0.28,5
28/4/2011,21215,East,Maryland,9,0.45,21
28/4/2011,21215,East,Maryland,2,0.48,3
28/4/2011,43055,East,Ohio,3,0.363,7
28/4/2011,21215,East,Maryland,129,0.26,498
28/4/2011,43055,East,Ohio,-38,-0.213,178
28/4/2011,43055,East,Ohio,2,0.075,27
28/4/2011,14701,East,New York,58,0.36,160
29/4/2011,70601,South,Louisiana,13,0.25,52
29/4/2011,70601,South,Louisiana,9,0.48,18
29/4/2011,38109,South,Tennessee,70,0.125,562
29/4/2011,38109,South,Tennessee,-1,-0.013,100
29/4/2011,14609,East,New York,6,0.34,17
29/4/2011,19901,East,Delaware,5,0.26,20
30/4/2011,40214,South,Kentucky,45,0.26,175
30/4/2011,40214,South,Kentucky,215,0.26,826
30/4/2011,39212,South,Mississippi,16,0.34,48
2/5/2011,43229,East,Ohio,2,0.075,26
2/5/2011,33801,South,Florida,90,0.188,480
3/5/2011,54915,Central,Wisconsin,10,0.48,22
3/5/2011,10701,East,New York,4,0.363,11
3/5/2011,10701,East,New York,15,0.363,40
4/5/2011,6457,East,Connecticut,10,0.36,27
4/5/2011,77036,Central,Texas,3,0.075,38
4/5/2011,77036,Central,Texas,2,0.338,5
4/5/2011,98105,West,Washington,4,0.32,12
4/5/2011,98105,West,Washington,19,0.33,58
4/5/2011,49201,Central,Michigan,21,0.45,47
5/5/2011,22204,South,Virginia,5,0.45,12
5/5/2011,22204,South,Virginia,17,0.47,35
5/5/2011,78207,Central,Texas,-9,-0.071,128
5/5/2011,40475,South,Kentucky,2,0.29,7
5/5/2011,40475,South,Kentucky,4,0.45,9
5/5/2011,40475,South,Kentucky,12,0.47,25
5/5/2011,61032,Central,Illinois,4,0.088,45
6/5/2011,90049,West,California,53,0.375,141
6/5/2011,90004,West,California,30,0.28,108
6/5/2011,90004,West,California,3,0.47,6
7/5/2011,1841,East,Massachusetts,244,0.28,872
7/5/2011,1841,East,Massachusetts,-39,-0.2,194
7/5/2011,1841,East,Massachusetts,3,0.29,9
7/5/2011,1841,East,Massachusetts,8,0.49,16
8/5/2011,19134,East,Pennsylvania,240,0.133,1800
9/5/2011,42420,South,Kentucky,9,0.46,21
9/5/2011,42420,South,Kentucky,5,0.48,9
9/5/2011,42420,South,Kentucky,22,0.48,45
9/5/2011,42420,South,Kentucky,15,0.18,83
9/5/2011,94110,West,California,4,0.06,68
9/5/2011,94110,West,California,40,0.24,168
10/5/2011,19134,East,Pennsylvania,-217,-0.62,350
10/5/2011,19134,East,Pennsylvania,5,0.238,22
10/5/2011,95123,West,California,32,0.125,257
10/5/2011,98031,West,Washington,77,0.49,158
10/5/2011,95123,West,California,19,0.48,40
10/5/2011,95123,West,California,11,0.27,41
10/5/2011,95123,West,California,125,0.088,1432
10/5/2011,98031,West,Washington,4,0.1,44
11/5/2011,60610,Central,Illinois,-173,-1.65,105
11/5/2011,60610,Central,Illinois,6,0.325,17
11/5/2011,76106,Central,Texas,-84,-1.275,66
11/5/2011,77340,Central,Texas,-69,-0.057,1213
11/5/2011,76106,Central,Texas,7,0.125,58
11/5/2011,76106,Central,Texas,6,0.063,101
11/5/2011,77095,Central,Texas,8,0.163,47
11/5/2011,13601,East,New York,10,0.27,36
12/5/2011,53209,Central,Wisconsin,11,0.31,35
12/5/2011,2038,East,Massachusetts,-130,-0.186,700
13/5/2011,84084,West,Utah,10,0.18,56
13/5/2011,33012,South,Florida,-332,-0.833,398
13/5/2011,33012,South,Florida,2,0.338,7
13/5/2011,94601,West,California,52,0.35,150
13/5/2011,90004,West,California,21,0.075,279
13/5/2011,90004,West,California,4,0.48,8
14/5/2011,33710,South,Florida,23,0.075,311
16/5/2011,94122,West,California,3,0.06,56
16/5/2011,90036,West,California,17,0.075,233
17/5/2011,54703,Central,Wisconsin,46,0.5,92
18/5/2011,44312,East,Ohio,4,0.025,149
18/5/2011,44312,East,Ohio,6,0.363,16
18/5/2011,75220,Central,Texas,1,0.363,4
18/5/2011,44105,East,Ohio,-169,-0.217,780
19/5/2011,23464,South,Virginia,9,0.27,34
19/5/2011,48640,Central,Michigan,26,0.46,57
20/5/2011,78666,Central,Texas,-6,-0.575,10
20/5/2011,3820,East,New Hampshire,60,0.43,140
20/5/2011,78666,Central,Texas,4,0.35,10
20/5/2011,78666,Central,Texas,-13,-0.2,67
20/5/2011,3820,East,New Hampshire,9,0.28,33
20/5/2011,3820,East,New Hampshire,12,0.31,39
20/5/2011,78666,Central,Texas,-4,-0.175,21
21/5/2011,77070,Central,Texas,-29,-0.271,108
21/5/2011,77070,Central,Texas,-31,-1.7,18
21/5/2011,77070,Central,Texas,21,0.375,56
21/5/2011,77070,Central,Texas,2,0.338,5
21/5/2011,23464,South,Virginia,1276,0.47,2716
21/5/2011,92037,West,California,11,0.33,32
21/5/2011,23464,South,Virginia,173,0.28,618
21/5/2011,1841,East,Massachusetts,69,0.28,246
21/5/2011,1841,East,Massachusetts,219,0.49,448
21/5/2011,1841,East,Massachusetts,9,0.49,18
22/5/2011,35601,South,Alabama,34,0.25,136
22/5/2011,35601,South,Alabama,13,0.28,45
23/5/2011,10035,East,New York,56,0.27,208
23/5/2011,19134,East,Pennsylvania,2,0.113,21
23/5/2011,10035,East,New York,6,0.325,18
23/5/2011,19134,East,Pennsylvania,-3,-0.8,3
23/5/2011,10035,East,New York,0,0.03,5
23/5/2011,98006,West,Washington,6,0.48,13
23/5/2011,19134,East,Pennsylvania,-10,-0.183,55
24/5/2011,21215,East,Maryland,57,0.49,116
25/5/2011,60623,Central,Illinois,-24,-0.825,29
25/5/2011,60623,Central,Illinois,-166,-2.2,76
25/5/2011,10035,East,New York,7,0.46,15
26/5/2011,84107,West,Utah,23,0.48,48
26/5/2011,90008,West,California,23,0.1,225
26/5/2011,90008,West,California,27,0.094,291
26/5/2011,90008,West,California,31,0.375,84
26/5/2011,90008,West,California,20,0.1,202
26/5/2011,60623,Central,Illinois,-5,-0.014,360
26/5/2011,60623,Central,Illinois,3,0.238,13
26/5/2011,60623,Central,Illinois,8,0.075,103
27/5/2011,92105,West,California,-28,-0.05,567
27/5/2011,92105,West,California,7,0.02,359
27/5/2011,60653,Central,Illinois,-31,-1.75,17
27/5/2011,94109,West,California,38,0.38,100
27/5/2011,94109,West,California,125,0.113,1114
28/5/2011,98105,West,Washington,51,0.375,137
28/5/2011,98115,West,Washington,2,0.08,28
28/5/2011,98115,West,Washington,6,0.1,57
30/5/2011,10024,East,New York,78,0.33,236
30/5/2011,10024,East,New York,9,0.35,26
30/5/2011,10024,East,New York,18,0.45,40
30/5/2011,10024,East,New York,135,0.29,464
30/5/2011,60623,Central,Illinois,135,0.188,720
30/5/2011,60089,Central,Illinois,-185,-0.52,355
30/5/2011,23223,South,Virginia,6,0.45,14
30/5/2011,10024,East,New York,26,0.375,70
31/5/2011,39212,South,Mississippi,33,0.29,114
31/5/2011,39212,South,Mississippi,198,0.3,660
1/6/2011,72209,South,Arkansas,9,0.41,22
1/6/2011,55044,Central,Minnesota,581,0.29,2002
1/6/2011,48234,Central,Michigan,12,0.189,66
1/6/2011,48234,Central,Michigan,67,0.48,139
1/6/2011,55044,Central,Minnesota,496,0.33,1503
1/6/2011,55044,Central,Minnesota,24,0.5,48
1/6/2011,55044,Central,Minnesota,12,0.48,26
1/6/2011,55044,Central,Minnesota,42,0.25,167
1/6/2011,8701,East,New Jersey,84,0.29,289
1/6/2011,8701,East,New Jersey,21,0.46,45
1/6/2011,72209,South,Arkansas,229,0.26,882
2/6/2011,30076,South,Georgia,3,0.31,9
2/6/2011,30076,South,Georgia,107,0.3,357
2/6/2011,30076,South,Georgia,67,0.28,240
2/6/2011,84057,West,Utah,22,0.3,73
2/6/2011,84057,West,Utah,19,0.325,60
3/6/2011,62521,Central,Illinois,-40,-0.65,62
3/6/2011,62521,Central,Illinois,5,0.325,16
